"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"SMA IN";;;
2;"J3";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"SMA OUT";;;
3;"C20,C1,C4,C19,C24";"C_0805_2012Metric";5;"100nF";;;
4;"C2,C9,C23";"C_0805_2012Metric";3;"18pF";;;
5;"C3,C10,C11";"C_0805_2012Metric";3;"4.7uF";;;
6;"C5,C6";"C_0805_2012Metric";2;"1uF";;;
7;"C7,C15";"C_0805_2012Metric";2;"160pF";;;
8;"C8,C22";"C_0805_2012Metric";2;"8.2pF";;;
9;"C12";"C_0805_2012Metric";1;"200pF";;;
10;"C13,C21";"C_0805_2012Metric";2;"75pF";;;
11;"C14";"C_0805_2012Metric";1;"90pF";;;
12;"C16";"C_0805_2012Metric";1;"62pF";;;
13;"C17";"C_0805_2012Metric";1;"5.1pF";;;
14;"C18";"C_0805_2012Metric";1;"130pF";;;
15;"C25";"C_0805_2012Metric";1;"68pF";;;
16;"C26";"C_0805_2012Metric";1;"47pF";;;
17;"D1";"SOT-23";1;"BAV99";;;
18;"F1";"Fuse_1206_3216Metric_Castellated";1;"750mA";;;
19;"J1";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB_B";;;
20;"L1,L10";"L_0805_2012Metric";2;"62nH";;;
21;"L2,L9";"L_0805_2012Metric";2;"130nH";;;
22;"L3";"L_0805_2012Metric";1;"270nH";;;
23;"L4,L8";"L_0805_2012Metric";2;"15nH";;;
24;"L5";"L_0805_2012Metric";1;"180nH";;;
25;"L6";"L_0805_2012Metric";1;"220nH";;;
26;"L7";"L_0805_2012Metric";1;"200nH";;;
27;"L11";"L_0805_2012Metric";1;"24nH";;;
28;"L12";"L_0805_2012Metric";1;"36nH";;;
29;"MX1";"CD636";1;"ADE-1";;;
30;"R1,R2,R3,R5";"R_0805_2012Metric";4;"160";;;
31;"R4";"R_0805_2012Metric";1;"36";;;
32;"U1";"SOT-23-5";1;"LP5907MFX-3.3";;;
33;"U2";"SOT-23-5";1;"LP5907MFX-4.5";;;
34;"U3";"SOT-23-5";1;"74LVC1G126";;;
35;"X1";"Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm";1;"SG-8002CA";;;
